Starting custom llama-server with DeepSeek-V4-Flash...
Waiting for local server to load...
Custom V4 server is ready on port 8000!
2026-06-12 03:55:56 [INFO] Loaded 59950 rows. 0 cached, 59950 pending.
2026-06-12 03:55:58 [WARNING] Attempt 1/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 5.0s
2026-06-12 03:56:04 [WARNING] Attempt 2/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 10.0s
2026-06-12 03:56:16 [ERROR] All 3 attempts failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}
2026-06-12 03:56:19 [WARNING] Attempt 1/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 5.0s
2026-06-12 03:56:25 [WARNING] Attempt 2/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 10.0s
2026-06-12 03:56:36 [ERROR] All 3 attempts failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}
2026-06-12 03:56:39 [WARNING] Attempt 1/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 5.0s
2026-06-12 03:56:46 [WARNING] Attempt 2/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 10.0s
2026-06-12 03:56:57 [ERROR] All 3 attempts failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}
2026-06-12 03:57:00 [WARNING] Attempt 1/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 5.0s
2026-06-12 03:57:06 [WARNING] Attempt 2/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 10.0s
2026-06-12 03:57:18 [ERROR] All 3 attempts failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}
2026-06-12 03:57:21 [WARNING] Attempt 1/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 5.0s
2026-06-12 03:57:27 [WARNING] Attempt 2/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 10.0s
2026-06-12 03:57:39 [ERROR] All 3 attempts failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}
2026-06-12 03:57:43 [WARNING] Attempt 1/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 5.0s
2026-06-12 03:57:49 [WARNING] Attempt 2/3 failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}} — retrying in 10.0s
2026-06-12 03:58:00 [ERROR] All 3 attempts failed: Error code: 503 - {'error': {'message': 'Loading model', 'type': 'unavailable_error', 'code': 503}}
